gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022400341,1610612764,Washington,Wizards,WAS,wizards,240:00,116.5,117.3,106.7,107.6,9.8,9.7,0.689,1.82,20.6,0.314,0.615,0.466,16.24,16.3,0.57,0.594,1.0,0.199,105.28,104.5,87.08,104.0,0.526
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,240:00,106.7,107.6,116.5,117.3,-9.8,-9.7,0.739,2.27,21.8,0.385,0.686,0.534,14.167,14.3,0.511,0.529,1.0,0.2,105.28,104.5,87.08,105.0,0.474
