gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,distance,reboundChancesOffensive,reboundChancesDefensive,reboundChancesTotal,touches,secondaryAssists,freeThrowAssists,passes,assists,contestedFieldGoalsMade,contestedFieldGoalsAttempted,contestedFieldGoalPercentage,uncontestedFieldGoalsMade,uncontestedFieldGoalsAttempted,uncontestedFieldGoalsPercentage,fieldGoalPercentage,defendedAtRimFieldGoalsMade,defendedAtRimFieldGoalsAttempted,defendedAtRimFieldGoalPercentage
0022400341,1610612764,Washington,Wizards,WAS,wizards,240:00,18.77,29,49,76,477,3,2,342,31,13,28,0.464,32,65,0.492,0.484,28,42,0.667
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,240:00,18.41,33,48,77,432,1,4,298,34,27,52,0.519,19,42,0.452,0.484,20,27,0.741
