gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,percentageFieldGoalsAttempted2pt,percentageFieldGoalsAttempted3pt,percentagePoints2pt,percentagePointsMidrange2pt,percentagePoints3pt,percentagePointsFastBreak,percentagePointsFreeThrow,percentagePointsOffTurnovers,percentagePointsPaint,percentageAssisted2pt,percentageUnassisted2pt,percentageAssisted3pt,percentageUnassisted3pt,percentageAssistedFGM,percentageUnassistedFGM
0022400341,1610612764,Washington,Wizards,WAS,wizards,240:00,0.559,0.441,0.475,0.049,0.393,0.139,0.131,0.131,0.426,0.655,0.345,0.75,0.25,0.689,0.311
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,240:00,0.737,0.263,0.726,0.071,0.133,0.106,0.142,0.15,0.655,0.756,0.244,0.6,0.4,0.739,0.261
