gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,effectiveFieldGoalPercentage,freeThrowAttemptRate,teamTurnoverPercentage,offensiveReboundPercentage,oppEffectiveFieldGoalPercentage,oppFreeThrowAttemptRate,oppTeamTurnoverPercentage,oppOffensiveReboundPercentage
0022400341,1610612764,Washington,Wizards,WAS,wizards,240:00,0.57,0.237,0.163,0.314,0.511,0.284,0.143,0.385
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,240:00,0.511,0.284,0.143,0.385,0.57,0.237,0.163,0.314
