gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,points,contestedShots,contestedShots2pt,contestedShots3pt,deflections,chargesDrawn,screenAssists,screenAssistPoints,looseBallsRecoveredOffensive,looseBallsRecoveredDefensive,looseBallsRecoveredTotal,offensiveBoxOuts,defensiveBoxOuts,boxOutPlayerTeamRebounds,boxOutPlayerRebounds,boxOuts
0022400341,1610612764,Washington,Wizards,WAS,wizards,223.000000:00,110,55,42,13,13,0,6,16,3,5,8,0,0,0,0,0
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,240.000000:00,113,40,17,23,21,0,14,30,1,5,6,4,3,7,7,7
