gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,pointsOffTurnovers,pointsSecondChance,pointsFastBreak,pointsPaint,oppPointsOffTurnovers,oppPointsSecondChance,oppPointsFastBreak,oppPointsPaint,blocks,blocksAgainst,foulsPersonal,foulsDrawn
0022400341,1610612764,Washington,Wizards,WAS,wizards,240:00,16,16,17,52,17,11,12,74,12,6,21,23
0022400341,1610612743,Denver,Nuggets,DEN,nuggets,240:00,17,11,12,74,16,16,17,52,6,12,23,21
